tstamp2,mean,max
2004-03-31,2.2920731707317072,8.1
2004-04-30,2.303838383838386,7.3
2004-05-31,1.940033783783781,6.5
2004-06-30,1.9000000000000012,6.4
2004-07-31,1.7849462365591389,5.3
2004-08-31,1.2800838574423479,3.5
2004-09-30,2.164208633093527,7.5
2004-10-31,2.724681933842239,9.5
2004-11-30,2.6854197349042686,11.9
2004-12-31,2.751249999999997,9.9
2005-01-31,2.1350591715976335,8.7
2005-02-28,2.0962292609351434,8.4
2005-03-31,2.043508287292819,7.5
2005-04-30,1.2058823529411764,5.0
